scene,n_cells,n_cells_valid_gt,n_cells_with_return,n_cells_had_ground,n_cells_err_valid,alpha_metres,rmse_m,mae_m,bias_m,p95_abs_err_m,frac_within_20cm,frac_within_50cm,rmse_ground_m,rmse_nonground_m,n_err_ground,n_err_nonground,n_cells_cls_valid,n_gt_ground,n_gt_non_ground,n_fp,n_fn,e_t1_pct,e_t2_pct,e_tot_pct,e_t1_pct_logit,e_t2_pct_logit,e_tot_pct_logit
NU0645se_P_12498_20220119_20220119,1000000,990845,985199,974749,974715,0.20000000298023224,0.016760176047682762,0.010287470184266567,-0.005854716058820486,0.030324768275022507,0.9995968052199874,0.9999958962363358,0.015125621110200882,0.04458373412489891,945833,28882,985165,948411,36754,1318,5569,3.58600424443598,0.5871926833408723,0.6990707140428253,0.3917940904391359,11.55416797148072,11.13772819781458
NU0645sw_P_12498_20220119_20220119,1000000,1000000,999817,938452,938452,0.20000000298023224,0.0290082860738039,0.017800115048885345,-0.0027130122762173414,0.05307743698358536,0.9980659639491418,0.9999882785693888,0.024952681735157967,0.06451825797557831,880436,58016,999817,897876,101941,6625,18785,6.498857182095525,2.0921597191594383,2.5414650881111243,6.167292845861822,5.141578569869336,5.246160047288654
NU0646sw_P_12498_20220119_20220119,65016,32852,25684,23771,23767,0.20000000298023224,0.02313060127198696,0.015537960454821587,0.004989427048712969,0.04132988303899765,0.9993267976606218,0.9999158497075777,0.021606162190437317,0.20245634019374847,23727,40,25679,25268,411,347,48,84.42822384428224,0.1899635903118569,1.5382218933759102,98.78345498783455,0.011872724394491056,1.5927411503563222
NU0740ne_P_12498_20220119_20220119,1000000,981241,980371,957386,957284,0.20000000298023224,0.02876877412199974,0.019425297155976295,0.01621711626648903,0.04466056823730469,0.9981813129645957,0.9997649600327594,0.02453484758734703,0.11254043877124786,939375,17909,980156,944905,35251,2648,1972,7.511843635641542,0.20869822892248427,0.47135353964062865,10.725936852855238,0.13927326027484244,0.5200192622398884
NU0740nw_P_12498_20220119_20220119,1000000,1000000,999935,967425,967425,0.20000000298023224,0.03971605375409126,0.020053880289196968,0.014005208387970924,0.04639434814453125,0.9959697134144766,0.9994263121172184,0.023024138063192368,0.17518122494220734,933831,33594,999935,937730,62205,2313,1638,3.718350614902339,0.17467714587354569,0.395125683169406,4.835624145968974,0.12562251394324592,0.41862721076869996
NU0740se_P_12498_20220119_20220119,297598,148614,145251,144725,144706,0.20000000298023224,0.031132206320762634,0.02410285361111164,0.023197531700134277,0.05891704559326172,0.9992191063259298,0.9999930894365127,0.02980022132396698,0.1634017825126648,144251,455,145232,144502,730,207,36,28.356164383561644,0.024913149991003584,0.16731849730087034,36.43835616438356,0.0020760958325836323,0.18522088795857664
NU0740sw_P_12498_20220119_20220119,800000,601026,582150,552813,552660,0.20000000298023224,0.12281961739063263,0.02558588795363903,0.007890771143138409,0.05510912090539932,0.9927532298338942,0.9967575000904715,0.12111865729093552,0.15672579407691956,529481,23179,581957,534588,47369,1710,4784,3.609955878317043,0.894894760076919,1.1158900056189718,3.4685131626169015,0.6971724019244727,0.9227485879540929
NU0741ne_P_12498_20220119_20220119,1000000,1000000,999243,963901,963901,0.20000000298023224,0.022261707112193108,0.013754360377788544,0.008499770425260067,0.03370380401611328,0.9989749984697599,0.999903517062437,0.019583068788051605,0.08033393323421478,946102,17799,999243,963766,35477,6000,3055,16.912365758096794,0.3169856583444529,0.9061859827889712,23.37570820531612,0.33275712154195103,1.1508712095055957
NU0741nw_P_12498_20220119_20220119,1000000,999990,999877,985751,985746,0.20000000298023224,0.025231914594769478,0.018871231004595757,0.016625583171844482,0.04166603088378906,0.9995303049669996,0.9999786963375961,0.023166941478848457,0.0748666450381279,966308,19438,999867,972143,27724,2888,1415,10.416967248593277,0.14555471777300252,0.4303572375125892,12.310633386235752,0.10955178404823158,0.44785956532218785
NU0741se_P_12498_20220119_20220119,1000000,999999,999990,978922,978921,0.20000000298023224,0.0316535122692585,0.024858498945832253,0.022262247279286385,0.05652618408203125,0.999398317126714,0.9999754832105961,0.029904266819357872,0.0816013365983963,960635,18286,999989,967178,32811,3946,1511,12.026454542683856,0.15622770575840228,0.5457060027660304,9.658346286306422,0.30304659535266515,0.6100067100738108
NU0741sw_P_12498_20220119_20220119,1000000,999998,999697,976199,976197,0.20000000298023224,0.02416147291660309,0.018709145486354828,0.016728341579437256,0.04131317138671875,0.9995687345894323,1.0,0.021969057619571686,0.08240421116352081,960545,15652,999695,967008,32687,3356,574,10.267078655122832,0.05935835070650915,0.39311990156997884,10.294612537094258,0.06969952678778252,0.4040232270842607
NU0742ne_P_12498_20220119_20220119,1000000,1000000,999270,970627,970627,0.20000000298023224,0.020938795059919357,0.015833275392651558,0.01253090612590313,0.036952972412109375,0.9998300067894258,1.0,0.019707299768924713,0.052281323820352554,949908,20719,999270,961566,37704,3912,2832,10.37555697008275,0.29451956495965953,0.6748926716503048,8.82399745385105,0.5896631120484709,0.9003572608003843
NU0742nw_P_12498_20220119_20220119,1000000,999594,999447,982066,982064,0.20000000298023224,0.01826648600399494,0.01263461820781231,0.009071850217878819,0.029999732971191406,0.9995041056387364,0.9999816712556412,0.016559774056077003,0.07032691687345505,969569,12495,999041,974632,24409,1778,2336,7.28419845139088,0.23968020750396046,0.4117949113199558,9.500594043180794,0.2982664226087385,0.5231016544866527
NU0742se_P_12498_20220119_20220119,1000000,999999,999425,985786,985785,0.20000000298023224,0.015314729884266853,0.009837925434112549,0.005873087327927351,0.02472066879272461,0.9996337943872142,0.9999949279000999,0.013940232805907726,0.07352021336555481,978178,7607,999424,983983,15441,2787,1346,18.04934913541869,0.13679098114499946,0.41353819800204916,16.009325820866525,0.2046783328573766,0.4488585425204918
NU0742sw_P_12498_20220119_20220119,1000000,999966,997161,978543,978539,0.20000000298023224,0.026543796062469482,0.014439824037253857,0.007249828893691301,0.03846175596117973,0.9974073593387693,0.9998886094473496,0.018768155947327614,0.10492230951786041,946186,32353,997127,950683,46444,2695,3936,5.802687107053656,0.414018132227041,0.6650105753830756,13.678839031952458,0.1560982998538945,0.7859580574991952
NU0743ne_P_12498_20220119_20220119,1000000,999999,979440,866192,866191,0.20000000298023224,0.04406953975558281,0.029271915555000305,-0.023500632494688034,0.08753299713134766,0.9948579470347764,1.0,0.041845787316560745,0.06436417996883392,796997,69194,979439,875957,103482,5702,49834,5.5101370286619895,5.689092044472503,5.67018466693689,9.042152258363773,30.432886545800763,28.172862220107632
NU0743nw_P_12498_20220119_20220119,1000000,999998,995594,952401,952399,0.20000000298023224,0.018902264535427094,0.011627723462879658,-0.0013566607376560569,0.03472089767456055,0.999341662475496,1.0,0.018105175346136093,0.04394078254699707,934873,17526,995592,962110,33482,6925,5126,20.682754913087628,0.5327873112222096,1.2104356001253525,54.193297891404335,0.5254076976645082,2.3302718382630636
NU0743se_P_12498_20220119_20220119,1000000,999999,995155,942155,942154,0.20000000298023224,0.022623060271143913,0.01590481773018837,0.008069594390690327,0.041699014604091644,0.999472485389862,0.9999745264574581,0.02090088464319706,0.04593979939818382,899958,42196,995154,934292,60862,13785,6005,22.649600736091486,0.642732678862711,1.9886369345849988,25.99815977128586,6.548488052985577,7.737998339955424
NU0743sw_P_12498_20220119_20220119,1000000,999998,989832,943511,943510,0.20000000298023224,0.02714879810810089,0.0174116138368845,0.006438945885747671,0.05228675529360771,0.9989952411739145,0.9999597248571822,0.021397767588496208,0.055042341351509094,841083,102427,989830,855275,134555,4044,3970,3.005462450299134,0.46417818830200813,0.8096339775517007,2.2429489799710156,1.1855835842272953,1.3293191760201246
NU0744ne_P_12498_20220119_20220119,618000,337102,302862,268231,268220,0.20000000298023224,0.0556037575006485,0.04900375381112099,-0.048687949776649475,0.09335048496723175,1.0,1.0,0.05560443922877312,0.028726715594530106,268211,9,302851,302828,23,10,320,43.47826086956522,0.10567054565628013,0.10896447427943114,0.0,72.41338317460736,72.40788374481181
NU0744nw_P_12498_20220119_20220119,1000000,1000000,997744,922455,922455,0.20000000298023224,0.042253073304891586,0.02953287959098816,-0.018826615065336227,0.08829321712255478,0.9986427522209755,0.9999262836669539,0.040942613035440445,0.05707072839140892,858834,63621,997744,893622,104122,8800,27639,8.451624056395382,3.0929184823113127,3.6521392260940684,15.04100958491001,34.23349022293542,32.230612261261406
NU0744se_P_12498_20220119_20220119,1000000,865255,803173,688777,688716,0.20000000298023224,0.04621793329715729,0.03634129837155342,-0.03491954877972603,0.08455610275268555,0.9983549097160513,1.0,0.04625270888209343,0.03097652830183506,686839,1877,803102,793239,9863,1271,9971,12.886545675757883,1.2569982060892115,1.3998221894603675,2.240697556524384,40.74307995446517,40.27022719405505
NU0744sw_P_12498_20220119_20220119,1000000,999997,997347,953593,953591,0.20000000298023224,0.020320964977145195,0.011667970567941666,0.001452593831345439,0.03320777416229248,0.9988873636601017,0.999988464656231,0.0178874172270298,0.05810479447245598,924579,29012,997345,942084,55261,7229,5911,13.08155842275746,0.6274387421928406,1.3174979570760368,20.5262300718409,1.6147180081606312,2.6625691210162983
NU0745se_P_12498_20220119_20220119,6042,3019,2812,2812,2781,0.20000000298023224,0.03601257875561714,0.034668222069740295,-0.034668222069740295,0.05139589309692383,1.0,1.0,0.03601257875561714,nan,2781,0,2781,2781,0,0,0,0.0,0.0,0.0,0.0,99.82020855807264,99.82020855807264
NU0745sw_P_12498_20220119_20220119,809000,652155,547199,545531,545413,0.20000000298023224,0.020996015518903732,0.014837890863418579,-0.014179110527038574,0.04505467414855957,1.0,1.0,0.020996110513806343,0.01944633573293686,545378,35,547079,547044,35,3,20,8.571428571428571,0.003656013044654543,0.0042041460191306924,0.0,34.46103055695703,34.458825873411335
NU0840ne_P_12498_20220119_20220119,476,227,237,232,213,0.20000000298023224,0.06404697895050049,0.05640559643507004,-0.05623900145292282,0.11418380588293076,1.0,1.0,0.06404697895050049,nan,213,0,218,218,0,0,2,0.0,0.9174311926605505,0.9174311926605505,0.0,94.95412844036697,94.95412844036697
NU0840nw_P_12498_20220119_20220119,861000,530845,491442,475285,475159,0.20000000298023224,0.037544772028923035,0.017416706308722496,0.011368230916559696,0.046233274042606354,0.99747452957852,0.9992339406388178,0.03191728517413139,0.10170930624008179,455243,19916,491310,459538,31772,1943,1493,6.115447563892736,0.3248915214846215,0.6993547861838758,5.470225355659071,0.5255278127162498,0.8452911603671817
NU0841ne_P_12498_20220119_20220119,1000000,882145,814514,663052,663016,0.20000000298023224,0.04040834680199623,0.031003620475530624,-0.02879648655653,0.08023601770401001,0.9995626048240163,1.0,0.04293929412961006,0.029547201469540596,518939,144077,814445,636088,178357,1266,68032,0.7098123426610674,10.695375482637623,8.508616296987519,0.005046059308017067,35.33882104362918,27.60100436493563
NU0841nw_P_12498_20220119_20220119,1000000,999994,991109,858885,858884,0.20000000298023224,0.05341147258877754,0.02682061493396759,-0.016162846237421036,0.09375759214162827,0.9832806292817191,0.9997636467788432,0.05429203808307648,0.0477689653635025,736531,122353,991103,784352,206751,9460,49947,4.575552234330185,6.367931744930847,5.9940288748999855,4.852213532219917,16.37045612174126,13.967670363221583
